clase,olor,color_sombrero,forma_sombrero,superficie_sombrero,color_laminas,tamano_laminas,forma_tallo,color_tallo,tipo_anillo,numero_anillos,color_espora,poblacion,habitat,moretones,color_velo,textura,diametro_sombrero_cm,altura_tallo_cm
venenoso,almendra,canela,cónico,fibrosa,rosa,angosta,ahusada,rosa,colgante,uno,verde,numerosa,desechos,no,blanco,seca,7.0,8.2
comestible,creosota,marrón,convexo,estriada,gris,ancha,ahusada,marrón,ninguno,dos,negro,agrupada,bosque,sí,naranja,seca,3.7,10.9
comestible,anís,blanco,plano,lisa,gris,angosta,agrandada,rosa,ninguno,ninguno,marrón,varias,hojas,sí,blanco,húmeda,9.4,2.3
comestible,ninguno,marrón,campana,escamosa,rojo,angosta,agrandada,canela,colgante,ninguno,blanco,varias,senderos,sí,blanco,viscosa,8.6,7.1
venenoso,fétido,amarillo,plano,fibrosa,negro,ancha,ahusada,blanco,grande,uno,verde,dispersa,senderos,sí,marrón,viscosa,8.2,12.4
venenoso,pescado,blanco,hundido,fibrosa,marrón,angosta,agrandada,marrón,ninguno,dos,morado,varias,desechos,sí,naranja,húmeda,6.2,7.2
venenoso,fétido,blanco,cónico,escamosa,marrón,angosta,agrandada,canela,ninguno,uno,café,numerosa,desechos,no,blanco,seca,5.4,8.1
comestible,picante,verde,plano,escamosa,blanco,ancha,ahusada,rosa,evanescente,uno,blanco,numerosa,desechos,sí,marrón,viscosa,4.9,3.3
venenoso,fétido,gris,campana,escamosa,negro,ancha,agrandada,gris,evanescente,ninguno,marrón,dispersa,urbano,sí,blanco,seca,6.4,7.0
venenoso,pescado,blanco,cónico,escamosa,negro,ancha,ahusada,blanco,ninguno,uno,morado,solitaria,senderos,sí,naranja,seca,5.7,5.5
venenoso,mohoso,amarillo,plano,lisa,rojo,angosta,ahusada,marrón,colgante,ninguno,morado,abundante,desechos,no,naranja,húmeda,9.5,3.3
venenoso,mohoso,gris,nudoso,lisa,blanco,angosta,agrandada,blanco,evanescente,uno,verde,solitaria,desechos,no,naranja,seca,5.4,4.1
comestible,fétido,blanco,convexo,fibrosa,marrón,ancha,agrandada,rosa,grande,ninguno,blanco,varias,pastizal,sí,marrón,seca,2.8,5.5
comestible,mohoso,rosa,hundido,lisa,blanco,ancha,agrandada,canela,ninguno,ninguno,café,agrupada,urbano,no,naranja,seca,4.5,5.4
comestible,almendra,verde,campana,fibrosa,rojo,angosta,ahusada,gris,grande,dos,negro,agrupada,desechos,no,marrón,húmeda,6.2,10.9
comestible,creosota,verde,nudoso,escamosa,negro,ancha,ahusada,canela,ninguno,uno,blanco,agrupada,hojas,sí,naranja,viscosa,8.1,2.6
comestible,fétido,amarillo,campana,lisa,negro,angosta,agrandada,gris,evanescente,dos,negro,agrupada,senderos,sí,blanco,seca,5.6,10.5
comestible,almendra,canela,hundido,lisa,verde,ancha,ahusada,canela,evanescente,dos,marrón,numerosa,bosque,no,naranja,viscosa,1.7,12.1
venenoso,mohoso,amarillo,plano,estriada,negro,ancha,ahusada,rosa,grande,ninguno,negro,agrupada,hojas,sí,marrón,viscosa,4.4,5.6
venenoso,pescado,amarillo,cónico,lisa,marrón,ancha,ahusada,marrón,ninguno,dos,café,abundante,bosque,no,blanco,viscosa,4.6,7.5
venenoso,fétido,amarillo,campana,estriada,negro,ancha,agrandada,gris,grande,dos,negro,solitaria,desechos,no,marrón,viscosa,9.6,7.6
comestible,anís,rosa,convexo,escamosa,morado,angosta,agrandada,gris,ninguno,uno,café,agrupada,senderos,no,naranja,viscosa,4.4,4.7
venenoso,pescado,blanco,nudoso,lisa,verde,angosta,agrandada,blanco,ninguno,ninguno,morado,dispersa,pastizal,no,naranja,seca,4.3,7.0
venenoso,picante,canela,campana,estriada,blanco,angosta,agrandada,canela,evanescente,uno,café,agrupada,pastizal,sí,naranja,seca,7.0,6.5
venenoso,pescado,rosa,plano,lisa,blanco,angosta,ahusada,blanco,grande,dos,café,numerosa,desechos,sí,blanco,viscosa,6.3,9.3
comestible,ninguno,verde,nudoso,escamosa,verde,ancha,ahusada,rosa,colgante,uno,morado,numerosa,hojas,sí,blanco,húmeda,7.3,5.0
comestible,creosota,verde,hundido,lisa,blanco,ancha,ahusada,canela,grande,dos,blanco,abundante,pastizal,no,marrón,húmeda,10.0,12.0
venenoso,anís,rosa,hundido,fibrosa,negro,ancha,agrandada,rosa,evanescente,dos,verde,abundante,pastizal,sí,marrón,húmeda,6.7,5.5
comestible,almendra,blanco,nudoso,estriada,rojo,ancha,ahusada,rosa,ninguno,ninguno,marrón,solitaria,urbano,no,marrón,viscosa,6.8,5.9
comestible,ninguno,blanco,hundido,lisa,negro,angosta,ahusada,rosa,ninguno,uno,café,abundante,pastizal,sí,naranja,viscosa,2.3,9.5
venenoso,picante,canela,convexo,escamosa,blanco,angosta,ahusada,rosa,grande,dos,marrón,agrupada,hojas,no,naranja,viscosa,7.3,12.7
comestible,picante,blanco,campana,fibrosa,gris,ancha,agrandada,blanco,evanescente,uno,negro,agrupada,urbano,no,blanco,viscosa,5.2,7.7
venenoso,pescado,canela,hundido,estriada,gris,ancha,agrandada,gris,colgante,ninguno,morado,agrupada,desechos,sí,naranja,viscosa,6.8,11.7
comestible,ninguno,verde,cónico,estriada,verde,angosta,ahusada,marrón,evanescente,dos,negro,dispersa,desechos,no,blanco,húmeda,5.5,5.9
venenoso,mohoso,amarillo,plano,fibrosa,rojo,ancha,ahusada,marrón,ninguno,dos,morado,agrupada,senderos,sí,marrón,viscosa,6.4,7.3
venenoso,fétido,gris,cónico,lisa,rosa,angosta,agrandada,blanco,ninguno,dos,negro,solitaria,bosque,sí,naranja,viscosa,4.8,6.7
comestible,almendra,marrón,campana,escamosa,morado,angosta,agrandada,marrón,grande,uno,marrón,agrupada,urbano,sí,marrón,viscosa,5.3,11.2
comestible,ninguno,verde,campana,escamosa,rosa,angosta,agrandada,blanco,ninguno,ninguno,negro,numerosa,urbano,no,marrón,húmeda,4.0,8.3
venenoso,creosota,verde,plano,escamosa,gris,angosta,agrandada,blanco,colgante,ninguno,blanco,solitaria,bosque,sí,naranja,viscosa,4.9,9.8
venenoso,fétido,verde,convexo,lisa,negro,angosta,agrandada,marrón,evanescente,uno,verde,dispersa,bosque,sí,marrón,húmeda,3.6,7.5
venenoso,almendra,marrón,convexo,lisa,marrón,angosta,agrandada,gris,colgante,uno,verde,varias,senderos,no,blanco,seca,4.6,5.2
venenoso,ninguno,gris,convexo,escamosa,negro,angosta,agrandada,marrón,grande,uno,verde,solitaria,hojas,sí,blanco,húmeda,4.7,4.7
venenoso,mohoso,rosa,hundido,escamosa,rojo,ancha,agrandada,gris,ninguno,uno,marrón,agrupada,pastizal,sí,naranja,seca,3.5,5.0
comestible,anís,gris,nudoso,estriada,verde,ancha,ahusada,canela,colgante,dos,negro,dispersa,urbano,no,marrón,seca,5.9,9.8
venenoso,fétido,verde,campana,estriada,marrón,ancha,agrandada,blanco,evanescente,uno,blanco,numerosa,pastizal,no,marrón,húmeda,6.6,8.6
comestible,pescado,gris,cónico,estriada,negro,angosta,ahusada,blanco,ninguno,ninguno,negro,solitaria,hojas,no,naranja,seca,9.2,10.9
comestible,almendra,marrón,hundido,estriada,verde,angosta,ahusada,marrón,colgante,uno,verde,numerosa,pastizal,sí,naranja,seca,3.1,8.5
venenoso,pescado,blanco,convexo,escamosa,rojo,ancha,ahusada,marrón,grande,dos,negro,solitaria,senderos,no,blanco,seca,6.6,2.7
comestible,ninguno,verde,convexo,fibrosa,blanco,angosta,agrandada,marrón,evanescente,ninguno,negro,abundante,urbano,sí,blanco,seca,10.0,6.9
comestible,anís,gris,plano,estriada,blanco,angosta,ahusada,marrón,colgante,dos,blanco,varias,senderos,no,naranja,viscosa,6.4,11.9
comestible,creosota,gris,campana,escamosa,gris,angosta,ahusada,blanco,evanescente,ninguno,café,dispersa,senderos,sí,naranja,húmeda,6.3,6.0
venenoso,mohoso,gris,nudoso,lisa,morado,angosta,agrandada,canela,grande,ninguno,marrón,numerosa,bosque,no,marrón,viscosa,5.9,8.7
venenoso,fétido,marrón,campana,lisa,morado,angosta,agrandada,gris,colgante,ninguno,morado,agrupada,senderos,sí,blanco,viscosa,8.5,4.8
comestible,creosota,blanco,hundido,lisa,negro,angosta,agrandada,marrón,colgante,uno,blanco,agrupada,urbano,sí,naranja,húmeda,5.1,4.0
comestible,mohoso,amarillo,hundido,lisa,negro,ancha,ahusada,canela,colgante,ninguno,negro,dispersa,senderos,sí,blanco,húmeda,5.5,5.3
venenoso,creosota,rojo,hundido,lisa,rojo,angosta,ahusada,gris,evanescente,uno,verde,varias,bosque,sí,blanco,seca,5.9,7.6
comestible,almendra,marrón,hundido,fibrosa,gris,ancha,ahusada,rosa,evanescente,ninguno,blanco,agrupada,urbano,sí,naranja,viscosa,8.3,6.2
venenoso,fétido,marrón,convexo,lisa,negro,angosta,agrandada,blanco,evanescente,dos,verde,solitaria,senderos,sí,blanco,húmeda,5.3,4.1
comestible,anís,rojo,convexo,lisa,gris,angosta,agrandada,blanco,ninguno,uno,marrón,varias,hojas,no,naranja,seca,3.0,5.2
comestible,pescado,amarillo,cónico,fibrosa,morado,angosta,agrandada,canela,grande,dos,blanco,agrupada,senderos,no,naranja,húmeda,7.8,4.6
comestible,anís,canela,hundido,estriada,gris,ancha,agrandada,marrón,colgante,ninguno,marrón,solitaria,hojas,sí,naranja,húmeda,9.7,9.1
venenoso,mohoso,verde,convexo,estriada,rojo,angosta,agrandada,rosa,grande,ninguno,negro,varias,desechos,sí,blanco,seca,4.1,8.5
comestible,pescado,rojo,cónico,lisa,rojo,ancha,agrandada,marrón,colgante,uno,negro,solitaria,desechos,sí,blanco,viscosa,7.3,2.3
venenoso,mohoso,gris,convexo,estriada,verde,ancha,ahusada,marrón,ninguno,uno,marrón,dispersa,urbano,no,naranja,húmeda,7.5,8.7
venenoso,creosota,canela,campana,estriada,verde,ancha,ahusada,blanco,evanescente,uno,morado,numerosa,pastizal,no,marrón,húmeda,4.9,7.9
venenoso,pescado,verde,convexo,escamosa,marrón,ancha,ahusada,marrón,evanescente,uno,morado,varias,desechos,no,blanco,viscosa,3.5,6.6
venenoso,picante,canela,cónico,escamosa,verde,angosta,ahusada,rosa,grande,dos,verde,abundante,desechos,no,blanco,seca,2.3,5.6
venenoso,anís,gris,convexo,estriada,negro,ancha,ahusada,gris,evanescente,dos,morado,dispersa,hojas,no,naranja,húmeda,5.7,4.0
comestible,anís,amarillo,hundido,estriada,rosa,angosta,agrandada,gris,evanescente,dos,morado,abundante,senderos,no,marrón,viscosa,6.7,5.1
venenoso,creosota,amarillo,nudoso,lisa,gris,ancha,ahusada,rosa,colgante,ninguno,blanco,abundante,hojas,no,blanco,húmeda,4.1,11.0
comestible,picante,blanco,plano,lisa,negro,angosta,agrandada,rosa,colgante,ninguno,café,abundante,senderos,no,blanco,húmeda,6.0,4.1
venenoso,fétido,canela,cónico,estriada,negro,angosta,agrandada,blanco,ninguno,ninguno,morado,solitaria,urbano,sí,blanco,húmeda,4.0,6.3
venenoso,picante,rosa,cónico,lisa,morado,angosta,agrandada,rosa,ninguno,dos,marrón,numerosa,hojas,no,blanco,húmeda,9.0,10.8
comestible,almendra,marrón,plano,lisa,rosa,angosta,agrandada,rosa,grande,dos,marrón,numerosa,urbano,no,marrón,húmeda,5.8,10.7
comestible,picante,rojo,cónico,lisa,rosa,ancha,ahusada,canela,ninguno,ninguno,blanco,numerosa,urbano,no,naranja,viscosa,9.3,6.5
venenoso,pescado,verde,cónico,escamosa,verde,ancha,ahusada,blanco,grande,dos,verde,dispersa,senderos,no,naranja,viscosa,5.2,3.5
venenoso,picante,gris,cónico,fibrosa,rojo,angosta,agrandada,gris,colgante,uno,blanco,dispersa,urbano,no,marrón,seca,11.2,8.0
comestible,anís,marrón,cónico,estriada,verde,ancha,ahusada,rosa,grande,uno,verde,solitaria,pastizal,sí,naranja,seca,8.5,6.7
comestible,almendra,canela,nudoso,escamosa,marrón,angosta,ahusada,marrón,grande,ninguno,negro,varias,pastizal,no,blanco,seca,7.1,6.1
venenoso,picante,rosa,nudoso,fibrosa,blanco,ancha,agrandada,gris,evanescente,dos,café,varias,bosque,sí,naranja,seca,5.1,7.9
venenoso,pescado,verde,cónico,fibrosa,marrón,angosta,ahusada,blanco,ninguno,ninguno,negro,dispersa,pastizal,no,naranja,seca,4.5,3.7
comestible,creosota,gris,plano,fibrosa,negro,ancha,ahusada,gris,colgante,dos,blanco,solitaria,senderos,no,naranja,seca,5.4,5.9
venenoso,anís,verde,hundido,fibrosa,blanco,ancha,agrandada,blanco,grande,uno,verde,dispersa,bosque,no,blanco,húmeda,6.3,8.1
comestible,almendra,verde,plano,escamosa,rojo,angosta,agrandada,gris,colgante,uno,negro,agrupada,pastizal,no,naranja,húmeda,7.2,5.0
comestible,pescado,rosa,cónico,fibrosa,morado,ancha,ahusada,rosa,evanescente,uno,café,agrupada,desechos,no,blanco,húmeda,6.4,9.6
venenoso,creosota,blanco,campana,escamosa,morado,angosta,ahusada,canela,colgante,ninguno,negro,abundante,bosque,no,marrón,húmeda,5.9,7.8
venenoso,mohoso,rosa,campana,escamosa,rosa,angosta,agrandada,gris,evanescente,dos,verde,solitaria,bosque,no,marrón,seca,5.4,10.4
comestible,ninguno,blanco,hundido,escamosa,negro,angosta,ahusada,canela,grande,ninguno,blanco,abundante,hojas,sí,blanco,seca,5.4,6.9
comestible,ninguno,marrón,nudoso,fibrosa,blanco,ancha,ahusada,marrón,evanescente,ninguno,negro,varias,hojas,no,blanco,seca,8.9,2.4
venenoso,creosota,verde,nudoso,lisa,rosa,ancha,agrandada,canela,ninguno,dos,morado,numerosa,senderos,sí,naranja,seca,5.5,8.0
comestible,ninguno,verde,convexo,lisa,verde,ancha,ahusada,canela,colgante,uno,negro,numerosa,urbano,sí,naranja,viscosa,4.3,7.4
venenoso,fétido,amarillo,cónico,fibrosa,verde,ancha,agrandada,gris,evanescente,dos,marrón,varias,pastizal,sí,naranja,viscosa,6.3,4.7
comestible,anís,rosa,nudoso,fibrosa,rosa,angosta,agrandada,marrón,grande,dos,morado,varias,urbano,sí,marrón,húmeda,11.1,8.0
comestible,anís,blanco,hundido,lisa,rojo,angosta,ahusada,blanco,evanescente,dos,blanco,varias,pastizal,no,marrón,viscosa,6.9,9.2
comestible,almendra,blanco,cónico,fibrosa,morado,ancha,agrandada,gris,evanescente,ninguno,marrón,varias,senderos,sí,marrón,seca,8.4,11.1
venenoso,mohoso,gris,hundido,fibrosa,verde,ancha,ahusada,rosa,grande,ninguno,negro,agrupada,pastizal,sí,marrón,húmeda,9.4,6.0
venenoso,ninguno,marrón,nudoso,lisa,rojo,ancha,agrandada,gris,colgante,ninguno,morado,abundante,hojas,no,naranja,seca,3.8,5.2
comestible,almendra,marrón,plano,fibrosa,rosa,ancha,ahusada,canela,colgante,uno,morado,agrupada,desechos,sí,marrón,seca,3.3,6.5
venenoso,anís,rojo,cónico,escamosa,verde,angosta,ahusada,gris,evanescente,ninguno,morado,varias,pastizal,sí,naranja,viscosa,6.3,3.5
comestible,fétido,amarillo,campana,estriada,rosa,angosta,ahusada,rosa,colgante,uno,café,varias,bosque,sí,naranja,húmeda,8.4,7.4
venenoso,pescado,canela,campana,fibrosa,rojo,angosta,ahusada,gris,evanescente,ninguno,morado,solitaria,hojas,no,blanco,viscosa,4.4,3.7
venenoso,pescado,blanco,convexo,escamosa,rosa,angosta,agrandada,marrón,colgante,uno,marrón,solitaria,senderos,sí,marrón,viscosa,9.4,11.7
comestible,creosota,marrón,nudoso,lisa,gris,ancha,ahusada,marrón,evanescente,uno,marrón,solitaria,urbano,sí,naranja,húmeda,5.7,5.1
comestible,anís,verde,plano,lisa,rojo,angosta,agrandada,marrón,ninguno,ninguno,negro,solitaria,pastizal,sí,naranja,húmeda,5.0,9.3
venenoso,ninguno,gris,cónico,estriada,gris,angosta,ahusada,blanco,grande,ninguno,blanco,dispersa,hojas,no,blanco,viscosa,1.0,7.7
venenoso,creosota,marrón,plano,escamosa,blanco,ancha,agrandada,canela,grande,uno,café,agrupada,desechos,sí,marrón,húmeda,4.9,6.0
venenoso,almendra,rosa,plano,fibrosa,rosa,angosta,agrandada,blanco,ninguno,dos,morado,dispersa,hojas,no,blanco,húmeda,3.9,6.5
venenoso,creosota,rojo,plano,lisa,verde,ancha,agrandada,canela,evanescente,ninguno,café,solitaria,desechos,sí,marrón,húmeda,5.2,7.0
venenoso,picante,canela,hundido,fibrosa,gris,ancha,ahusada,marrón,ninguno,ninguno,verde,varias,pastizal,no,blanco,seca,5.8,5.9
comestible,almendra,amarillo,hundido,lisa,verde,angosta,ahusada,gris,colgante,uno,morado,numerosa,senderos,sí,blanco,seca,8.9,6.5
venenoso,pescado,canela,campana,fibrosa,negro,angosta,ahusada,canela,ninguno,uno,blanco,agrupada,bosque,no,blanco,viscosa,1.1,6.8
venenoso,fétido,canela,hundido,escamosa,gris,angosta,ahusada,blanco,grande,ninguno,blanco,varias,bosque,no,blanco,viscosa,5.3,7.5
comestible,mohoso,gris,cónico,escamosa,verde,angosta,agrandada,gris,grande,dos,negro,numerosa,bosque,no,naranja,viscosa,8.5,1.5
venenoso,fétido,canela,plano,fibrosa,morado,angosta,ahusada,blanco,ninguno,uno,marrón,agrupada,hojas,sí,blanco,húmeda,5.6,6.7
comestible,almendra,marrón,hundido,estriada,rosa,ancha,ahusada,marrón,evanescente,ninguno,marrón,varias,hojas,no,naranja,húmeda,5.3,4.9
venenoso,mohoso,rojo,nudoso,estriada,marrón,ancha,ahusada,gris,evanescente,ninguno,marrón,dispersa,bosque,no,naranja,húmeda,3.6,9.8
comestible,picante,marrón,hundido,fibrosa,verde,ancha,ahusada,gris,colgante,dos,blanco,solitaria,urbano,no,naranja,seca,5.8,6.8
comestible,picante,rosa,convexo,escamosa,rojo,angosta,agrandada,rosa,ninguno,ninguno,morado,abundante,senderos,no,naranja,viscosa,6.3,4.9
comestible,almendra,canela,campana,estriada,gris,ancha,agrandada,gris,colgante,dos,verde,agrupada,pastizal,no,naranja,seca,9.3,8.0
comestible,picante,canela,hundido,fibrosa,rosa,angosta,ahusada,marrón,evanescente,uno,negro,solitaria,senderos,no,blanco,húmeda,3.1,4.2
comestible,ninguno,amarillo,hundido,estriada,rosa,angosta,ahusada,rosa,evanescente,ninguno,café,solitaria,senderos,sí,marrón,viscosa,8.3,5.6
venenoso,creosota,rojo,hundido,estriada,marrón,ancha,ahusada,gris,colgante,uno,blanco,agrupada,urbano,no,marrón,viscosa,7.6,5.6
comestible,almendra,gris,plano,lisa,marrón,angosta,agrandada,gris,colgante,dos,café,varias,senderos,no,marrón,viscosa,4.2,9.0
venenoso,picante,rojo,convexo,fibrosa,rosa,angosta,agrandada,blanco,ninguno,uno,morado,dispersa,bosque,no,naranja,viscosa,7.7,9.2
venenoso,anís,marrón,cónico,escamosa,gris,ancha,agrandada,canela,evanescente,ninguno,verde,numerosa,bosque,sí,naranja,seca,4.8,3.7
venenoso,mohoso,marrón,hundido,estriada,verde,angosta,ahusada,marrón,grande,ninguno,verde,abundante,urbano,no,marrón,seca,6.7,4.3
comestible,creosota,amarillo,hundido,lisa,rojo,angosta,ahusada,gris,grande,dos,blanco,dispersa,urbano,no,marrón,húmeda,8.3,6.4
venenoso,fétido,canela,convexo,estriada,marrón,angosta,agrandada,blanco,ninguno,uno,morado,abundante,bosque,sí,naranja,húmeda,6.5,7.2
venenoso,picante,canela,nudoso,fibrosa,gris,angosta,agrandada,marrón,ninguno,dos,verde,agrupada,pastizal,sí,blanco,viscosa,6.6,6.7
venenoso,creosota,marrón,hundido,estriada,morado,angosta,agrandada,blanco,ninguno,ninguno,blanco,varias,desechos,no,marrón,viscosa,6.4,6.1
venenoso,almendra,marrón,campana,lisa,gris,ancha,ahusada,blanco,evanescente,uno,marrón,agrupada,hojas,no,naranja,seca,4.3,9.5
venenoso,picante,rojo,convexo,escamosa,negro,angosta,ahusada,canela,colgante,uno,café,dispersa,urbano,no,marrón,viscosa,6.6,6.4
venenoso,fétido,gris,campana,estriada,marrón,angosta,ahusada,blanco,grande,uno,morado,abundante,urbano,no,marrón,viscosa,6.2,9.2
venenoso,creosota,rosa,campana,escamosa,marrón,ancha,agrandada,canela,grande,dos,negro,dispersa,hojas,no,blanco,seca,8.4,8.3
venenoso,picante,amarillo,nudoso,estriada,marrón,ancha,ahusada,rosa,ninguno,dos,café,numerosa,pastizal,no,naranja,húmeda,5.3,6.0
venenoso,mohoso,gris,plano,lisa,verde,angosta,ahusada,rosa,colgante,ninguno,verde,dispersa,urbano,sí,marrón,viscosa,5.8,8.1
venenoso,picante,marrón,plano,estriada,verde,angosta,agrandada,rosa,grande,dos,verde,varias,desechos,sí,naranja,seca,5.0,3.9
comestible,ninguno,amarillo,nudoso,lisa,verde,ancha,ahusada,gris,ninguno,dos,verde,agrupada,urbano,sí,blanco,seca,7.5,5.6
venenoso,creosota,gris,plano,estriada,marrón,angosta,agrandada,canela,grande,uno,morado,abundante,hojas,sí,naranja,húmeda,7.5,10.1
comestible,mohoso,rojo,nudoso,escamosa,blanco,ancha,agrandada,gris,ninguno,uno,café,agrupada,bosque,sí,naranja,viscosa,6.9,4.5
comestible,almendra,rosa,nudoso,escamosa,morado,ancha,agrandada,blanco,ninguno,ninguno,negro,solitaria,urbano,no,marrón,seca,7.4,8.7
comestible,pescado,rojo,convexo,escamosa,blanco,ancha,ahusada,gris,ninguno,uno,marrón,numerosa,senderos,sí,marrón,viscosa,5.6,4.6
comestible,almendra,verde,campana,escamosa,verde,ancha,agrandada,marrón,grande,ninguno,café,dispersa,pastizal,no,blanco,viscosa,8.0,12.1
comestible,creosota,amarillo,nudoso,estriada,verde,ancha,agrandada,gris,colgante,ninguno,blanco,solitaria,urbano,sí,blanco,seca,7.5,4.8
comestible,almendra,canela,cónico,fibrosa,gris,angosta,ahusada,blanco,colgante,dos,morado,varias,senderos,no,blanco,húmeda,2.7,5.8
venenoso,fétido,gris,plano,fibrosa,blanco,angosta,agrandada,canela,ninguno,ninguno,marrón,varias,desechos,sí,naranja,seca,3.8,6.7
comestible,ninguno,canela,hundido,escamosa,verde,angosta,agrandada,canela,grande,dos,marrón,dispersa,urbano,no,marrón,seca,5.6,2.6
venenoso,almendra,blanco,cónico,fibrosa,gris,angosta,ahusada,marrón,grande,dos,blanco,dispersa,hojas,no,blanco,seca,5.6,1.8
venenoso,mohoso,amarillo,campana,fibrosa,gris,angosta,agrandada,blanco,evanescente,dos,café,dispersa,senderos,no,blanco,húmeda,1.2,3.4
venenoso,mohoso,verde,campana,fibrosa,rojo,ancha,agrandada,blanco,ninguno,ninguno,café,numerosa,pastizal,sí,naranja,viscosa,6.0,9.7
comestible,ninguno,rosa,nudoso,fibrosa,negro,angosta,ahusada,rosa,colgante,ninguno,café,varias,senderos,sí,blanco,seca,5.0,7.4
comestible,pescado,marrón,plano,lisa,negro,ancha,ahusada,marrón,ninguno,dos,blanco,dispersa,urbano,no,blanco,seca,2.7,4.8
comestible,almendra,marrón,convexo,escamosa,gris,angosta,ahusada,marrón,grande,uno,marrón,abundante,desechos,sí,naranja,viscosa,4.8,7.9
comestible,anís,verde,cónico,fibrosa,negro,angosta,ahusada,rosa,grande,ninguno,verde,varias,hojas,sí,marrón,seca,6.3,4.4
venenoso,picante,gris,nudoso,escamosa,marrón,angosta,agrandada,canela,grande,ninguno,blanco,varias,bosque,no,marrón,húmeda,8.8,6.4
